Title,Amount,Date,Category,Transaction,Paid From
Monthly salary,15000,2026-05-01,Salary,Income,Cash
Supermarket groceries,850.50,2026-05-02,Food,Expense,Cash
Vodafone mobile bill,200,03/05/2026,Utilities,Expense,Wallet
Uber ride to office,95,2026-05-04,Transport,Expense,Cash
Freelance project payment,3500,2026-05-10,Side income,Income,Bank
Electricity bill,420,15/05/2026,Utilities,Expense,Bank
Restaurant dinner,310,2026-05-18,Food,Expense,Wallet
Gym membership,600,2026-05-20,Health,Expense,Bank
Cash gift received,500,2026-05-22,Other,Income,Cash
Internet subscription,250,25/05/2026,Utilities,Expense,Bank
